Restaurant,Address,Author_Name,Review,Anger,Fear,Joy,Sadness,Sentiment
SONS,"167-169 Telok Ayer St, Singapore 068618",han hsiang Wong,1 for 1 main meals and generous portion. Loved their burrata with caramelised onions.,0.3869,0.3688,0.4327,0.4584,0.6368
Hyang Yeon Restaurant,"167-169 Telok Ayer St, Singapore 068618",Chester,Authentic korean cuisine with enough portions. Tried Jokbal and Soy bean stew. No wonder why there were a lot of people. The foods were great - recommendable. Will revisit to have Agujjim and grilled dishes.,0.3869,0.3106,0.4085,0.3358,0.5743
Manna Korean Restaurant,"167-169 Telok Ayer St, Singapore 068618",Theresa Lim,"Way overpriced dishes. $14.80 for nothing more than maggi mee soup with a few slices of hotdog, kangkong and other preserved items. $13.80 for a few measly rice cakes. Never coming back here again.",0.3869,0.3132,0.3973,0.3929,0.5031
13% Gastro Wine,"167-169 Telok Ayer St, Singapore 068618",Sylvain Deslandes,"Great wine list, many options reasonably priced and good service. Food is not outstanding but simple French fare always works. I recommend the cold cuts and cheese boards. One of 3 outlets in Singapore, and probably more to come.",0.3863,0.3837,0.3863,0.4141,0.5102
Katanashi,"167-169 Telok Ayer St, Singapore 068618",L2HfT,Simply the best restaurant on the strip. THE FOOD is absolutely amazing! Great friendly service and nice prices. Went there twice on my 2 days stay in Singapore.,0.3862,0.3393,0.6829,0.2928,0.7411
Shukuu Japanese Izakaya and Sake Bar,"167-169 Telok Ayer St, Singapore 068618",cc T,Visited this amazing store after work and it was a really great experience !!! It has a japan theme to it and it makes me feels like i walked in to a different environment when i walk into the shop. Food are amazing as well and feel like real japan food ! Prefect for a end of work dinner place !! Highly recommend !!,0.3861,0.3656,0.6565,0.3096,0.6765
Nouri,"167-169 Telok Ayer St, Singapore 068618",Ryan Kueh,"Innovative, beautiful and astounding food. Dishes were creative beyond imagination, and each dish was a sight to behold. Interesting flavour combinations with really well executed food. Service was immaculate and polite.",0.386,0.3158,0.4825,0.3935,0.5998
Wang Dae Bak Pocha,"167-169 Telok Ayer St, Singapore 068618",Sandra Chee,"Food was alright, portion is good. Service staff was attentive.",0.3857,0.2962,0.4462,0.3992,0.5878
Magal BBQ,"167-169 Telok Ayer St, Singapore 068618",Marc Chang,"One of my two go-to Korean BBQs. Very good quality at a reasonable price. Their sets, with all the ban-chan, are more than enough for two people. Ventilation is also pretty good - I don't don't smell like smoke even after a couple of hours inside this joint.",0.3857,0.3363,0.4068,0.3683,0.5445
GAIG RESTAURANT,"167-169 Telok Ayer St, Singapore 068618",Marcus Bagnall,Innovative Spanish menu offering. Went for a work lunch meeting with 6. Good but somewhat limited tapas selection and wine list. Service was attentive but can be slow when busy,0.3855,0.2872,0.3707,0.3902,0.5808
Basque Kitchen by Aitor,"167-169 Telok Ayer St, Singapore 068618",M Jinwen,Went for their tasting menu during weekday lunch. Great service but the food is very average given their fine diningconcept. The only thing pretty memorable was the oxtail rice. Avoid the pork jowl if you can. Kind of reminding my of char siew but chewier version. They need some improvements on dessert as well. It should not be simply one scoop of vanilla ice cream with some caramelized strawberries :(,0.3855,0.3004,0.4701,0.3268,0.6006
Preludio,"167-169 Telok Ayer St, Singapore 068618",Bless Castillo,"Ive tried both the lunch and dinner menu and both are equally satisfying. First time I went was for dinner and I can honestly say that its one of the best restaurants I've been to. Everything was delicious. It's hard to pick just one favourite dish. But if I must, I will still pick two - the pork dish and the ravioli for the dinner menu and burrata and the white chocolate dessert for lunch. I didn't get the wine pairing as I was heavily pregnant then but the Som made me non-alcoholic cocktails that matched the dishes. Thank you, Chip! The menu creative, their staffs attentive and the ambiance cozy. Definitely a must try if you are ever in the area/city.",0.3854,0.2925,0.5363,0.3227,0.6183
Preludio,"167-169 Telok Ayer St, Singapore 068618",Jan Jaap Rodenburg,New restaurant in town with master chef Fernando. He surprised us with some amazing combinations with the freshest ingredients from all over the world. Nice to see that not only a lot of thought went into courses but it really comes out in flavour and texture. Service was also excellent. One of the better restaurants in Singapore in my opinion. Not cheap though but worth it!,0.3854,0.2873,0.3966,0.3385,0.5844
Muchachos,"167-169 Telok Ayer St, Singapore 068618",Dorothy Clare Tan,"I visited when Muchachos was celebrating their 6th anniversary and gave 50% off, wow it was amazingly good. I had 4 tacos and they're one of the best taco places I've ever had!",0.3852,0.2977,0.6977,0.3304,0.767
Kitchen by Food Rebel,"167-169 Telok Ayer St, Singapore 068618",Strumpf Kasten,"Have been there for breakfast. The restaurant is located in Downtown. That might be the reason for these relatively high prices. The portions are small. The taste is good but nothing special. I've recently been in Thailand and Indonesia where you get much more for half the price. I've ordered an Omelette with spring onions and herbs. The omelette was served without any bread or other decoration. Just the pure egg. And even the spring onions and herbs I have to look for as they were really rare. Additionally I've had the homemade granola with coconut yoghurt and fresh fruits. The fruits were just dragon fruit. Nothing more. Would have expected more. The taste was good. But all in all the whole breakfast hasn't had the value of around 19 (!!) $. But maybe these are normal SNG prices. The staff was really friendly. Nothing to complain. Oh, and one last thing. I'm not sure but I haven't seen that there'll be 10% service fee charged afterwards. Maybe I was blind. But if not; you should add it to your menu as side note.",0.3851,0.3,0.3848,0.3518,0.5343
Momma Kong's,"167-169 Telok Ayer St, Singapore 068618",Anil Sunderji,Excellent pepper crab and cray fish in butter sauce. Great service. My second visit to this place in a year or so. Very clean place n meaty crab. Keep it up guys. Will definitely go again before I leave Singapore.,0.3851,0.309,0.4348,0.3351,0.5423
IZY Fook,"167-169 Telok Ayer St, Singapore 068618",Veronica Ho,"Amazing char siew , fabulous service. Chef Donn was on point with his dish recommendation !",0.385,0.1765,0.6585,0.2701,0.689
No Menu Restaurant,"167-169 Telok Ayer St, Singapore 068618",Adrian Teng,Highly recommended for home cooked Italian food. Book the private rooms if u can.,0.3849,0.2395,0.5021,0.3027,0.603
Preludio,"167-169 Telok Ayer St, Singapore 068618",R S,"Innovative, delicious and beautifully presented food paired with impeccable service what a great concept! I'm still waiting for Chef Rishis Naleendra new place to open its doors and thought I've found a new favorite place in Nouri in the meantime. Yet here is another one! Thank you for an exceptional experience!",0.3848,0.239,0.6345,0.2877,0.745
SUM YI TAI,"167-169 Telok Ayer St, Singapore 068618",Cornelyus Tan,"Extremely bad customer service from the waitress. There was NO initiative from the service crew in making up for their mistake for mixing up my reservation which caused my group of friends to seat outside the non air-condition area! We had to carry our own food n drinks, find our own table etc! It was a painful experience. The only thing that made me come back to this place for the second time was its unique nostalgic Oriental concept. No more third visit!",0.3846,0.4165,0.3819,0.4325,0.5013
Raku Raku Japanese Dining Stanley,"167-169 Telok Ayer St, Singapore 068618",DBSK Kang,"Quite often having dinner here.the restaurant run by Japanese and their staff some of them also Japanese. Food price is ok. However, the food standard is no so consistent. I like the all day happy hour at 5.50/glass. It is a good session after tiring work. Good place to hang out with colleague and friend.",0.3846,0.3238,0.4929,0.3848,0.6156
Fu Lin Bar & Kitchen,"167-169 Telok Ayer St, Singapore 068618",Marvin Goenadi,"One of the best dry yong tau foos around here! Be sure to come during lunch time so that you can select the particular ytf pieces that you would like to have in the dish. Otherwise, you can come during dinner time to have their yong tau foo set with alcoholic drinks, a wacky combination that surprisingly works for me!",0.3845,0.3724,0.469,0.3789,0.6162
Shree Ganga,"167-169 Telok Ayer St, Singapore 068618",Mathieu Feulvarch,$5.50 meal with two veggies and one rice. Come with one small cracker and three different sauces. OK food. Pay with Dave and get cashback which is always a good deal,0.3844,0.1983,0.5398,0.3088,0.6375
Napoleon Food & Wine Bar,"167-169 Telok Ayer St, Singapore 068618",Jason Tan,"Had two dishes of lamb and duck. Duck was much better than the lamb. Wine was good as well. But for the price you pay you would expect nothing less. All in all, food was good but at a price point i would consider just equal to the quality. Nothing more nothing less.",0.3842,0.2855,0.4241,0.3848,0.5776
PS.Cafe at Ann Siang Hill,"167-169 Telok Ayer St, Singapore 068618",Cheryl Chong,Great decor and good place to hang out with friends. Dessert and bevarages are consistently good. The sticky date pudding is amazing. We received excellent service from Elyn (one of the best in Singapore that I've seen). Closes relatively late on weekdays at 11pm.,0.3841,0.3654,0.4652,0.4193,0.5983
Bumbu,"167-169 Telok Ayer St, Singapore 068618",Benji Lim,A small scale restaurant. Food is decent. However the wait will be a while. Not suitable if u need a quick lunch.,0.3841,0.2989,0.3397,0.3315,0.5014
Botan,"167-169 Telok Ayer St, Singapore 068618",Jayce Lim,"A decent place for lunch, the food is ok for the price. The place could get crowded during lunchtime and orders take forever to be served.",0.3841,0.4017,0.3919,0.3655,0.517
Nusantara Cuisine,"167-169 Telok Ayer St, Singapore 068618",Adrian lubis,Here you can find halal ba ku teh ..its beef actually,0.3841,0.2348,0.3684,0.3376,0.4896
PUJIM BBQ,"167-169 Telok Ayer St, Singapore 068618",Anna Guo,We ordered the classic army stew. The ingredients seemed pretty low quality and came out frozen. The side dishes were also not tasty and portions tiny. I will not be returning again.,0.384,0.3483,0.3199,0.4371,0.4764
Manna Korean Restaurant,"17 Boon Tat St, Singapore 069618",Sunil Khamkar,Quality Korean food! It's still quite affordable. Near to the Telok Ayer MRT so easily accessible.,0.3839,0.347,0.4549,0.3586,0.5329
Burlamacco Ristorante,"17 Boon Tat St, Singapore 069618",Tessa Kwek,Reasonable set lunch. Food is alright. Some ways to go in terms of service..,0.3839,0.2763,0.3614,0.3764,0.5092
fyr,"17 Boon Tat St, Singapore 069618",julian yu,Great food and great ambience! You Can get 2 for 1 deals using the entertainer app. the server for the day provided astounding service and would recommend !,0.3834,0.2316,0.5841,0.2623,0.6674
Shukuu Japanese Izakaya and Sake Bar,"17 Boon Tat St, Singapore 069618",Ang Kai Jie,"Ordered a few dishes, particularly enjoyed the Tori Kara-age and Spicy Salmon-don. The Tori Kara-age was exceptionally good as it was marinated really well, without being too salty. I loved the Spicy Salmon Don as the spicy sauce complemented the rice very well. The unique texture of the rice was something to note as well! And the generous amount of spring onion completed made the entire flavour come together appropriately. The portions (especially the Donburis) could be quite small for someone hungry (like me). 10/10 would recommend!",0.3832,0.3025,0.4911,0.3494,0.592
The Coconut Club,"17 Boon Tat St, Singapore 069618",Gracelxy,"Nice nasi lemak ($12.80) but a little on the pricey side! The service is great though! Had to wait about 40mins to get in as we went in a large group (>5 people). Do note that the chili is spicy, not the sweet one that hawker centres typically sell.",0.383,0.3217,0.4209,0.2944,0.5589
Yakiniku-Oh GOEN,"17 Boon Tat St, Singapore 069618",Richard Chen,"The serving was big enough for a big person or for my case, two persons. The curry is very nice, and the chicken is very crispy, the cashier lady is very polite.",0.383,0.3081,0.4537,0.3112,0.6079
SINGKOBA,"17 Boon Tat St, Singapore 069618",Luyi Zheng,Ginseng chicken recommended. But kimchi pancake too much flour so missing that crispy touch.,0.383,0.2392,0.3976,0.3562,0.4988
Corner Bar L'Operetta,"17 Boon Tat St, Singapore 069618",Desmond Goh,"Great Italian food, sizeable portion, and no complaints about the service. Can get a little hot in the afternoon but perfect for dinner",0.3829,0.2828,0.5087,0.3024,0.5823
WANTON - Seng's Noodle Bar,"17 Boon Tat St, Singapore 069618",Steve Tan,Get yourself a tasty soup by adding tons of pork lard to it and get the extra $5 top up for extra meats and goodiness.,0.3828,0.2114,0.4673,0.2923,0.586
Dong Fang Hong Restaurant,"17 Boon Tat St, Singapore 069618",Jongwon Lee,Korean chinese restaurant. Not bad but not super,0.3827,0.3132,0.2777,0.4124,0.4022
Annalakshmi Janatha,"17 Boon Tat St, Singapore 069618",Mehar Dadhich,Most hygienic and calm place to have authentic Indian food in CBD. They offer a great buffet everyday during lunch time. Eat what you like and pay what you want! Must visit!!!,0.3826,0.3046,0.5251,0.2831,0.6386
PS.Cafe at Ann Siang Hill,"17 Boon Tat St, Singapore 069618",Felix Tang,"Food is pretty decent and of good quality, though personally to me it's nothing to shout about that would want me to grade it as a 4/5-star experience. Ambience-wise, pretty good but as with all places in this neighbourhood, it can get crowded on the weekends and thus may get a little noisy. On a weekday evening it would be okay and a nice place to chill.",0.3824,0.3456,0.464,0.368,0.5764
Bar-A-Thym Restaurant by Francois Mermilliod,"17 Boon Tat St, Singapore 069618",Wil Tam,"Always great food, excellent service, truly satisfied on every single visit experience. More than any words can description....looking forward to dining there again despite numerous visits....somehow their interesting menu keeps drawing us back. Thumbs and toes up.",0.3823,0.3178,0.5039,0.3474,0.6106
Claypots Full Circle,"17 Boon Tat St, Singapore 069618",Michael Thorner,Not that many claypot dishes... Service and food was good. It was a bit hot inside though.,0.3822,0.2838,0.482,0.3809,0.5948
Shukuu Japanese Izakaya and Sake Bar,"17 Boon Tat St, Singapore 069618",Shankar Saikia,Fantastic and reasonably priced Japanese food. Had a great multi course dinner. This was my second visit (the prior visit was for lunch in January 2018). The only negatives were they it was a little noisy and very cold (strong AC).,0.3817,0.37,0.3952,0.3693,0.5218
Corner Bar L'Operetta,"17 Boon Tat St, Singapore 069618",Amber Heck,Great food but service was a bit slow. That may be a factor of how they run their servers. We had about 6 different people taking care of us. Still worth a visit and I'll be back again.,0.3816,0.3909,0.3699,0.4234,0.5199
Telok Ayer Arts Club,"17 Boon Tat St, Singapore 069618",Lho Chen Yang,Loved the food and experience! Had the laksa carbonara which I highly recommend. Flavourful with sufficient portions for dinner. My friend had the Asian Pork Ribs which looked really well done and a sizable portion as well.,0.3816,0.2919,0.5906,0.3368,0.6939
Shukuu Japanese Izakaya and Sake Bar,"17 Boon Tat St, Singapore 069618",Delicious Myojo,"Thumbs up to this Izakaya. Quite authentic in terms of decor and ambience. Good variety of sake. Service is not too bad as the place is always crowded. Food is good but can be better. We ordered the 7-variety of grilled skewers. It was cold went served. We also tried the tempura, grilled squid and crab gratin. Go for the seasonal sake n the staffs can recommend good sake. We tried a hot sake tho.",0.3814,0.2943,0.4489,0.3237,0.6166
Guo Fu Hotpot Steamboat,"17 Boon Tat St, Singapore 069618",A K,The food is good coupled with free flow of xiao long bao included. Service staff are ever so attentive even when it was a full house.,0.3812,0.2822,0.4964,0.3506,0.6159
PUJIM BBQ,"17 Boon Tat St, Singapore 069618",Victoria Li,"The place was great!! Especially, I really love their meat. My friends and I ordered one of meat sets, PUJIM Shovel, to taste both pork and beef. We are so satisfied with their quality of meat and taste of food. Also good atmosphere and kind staff service. I will definitely go this restaurant again!",0.3812,0.2748,0.6048,0.3196,0.6613
Dong Fang Hong Restaurant,"171 Telok Ayer St, Singapore 068621",Errol Lim,Had the dumpling and seafood spicy soup. Definitely not worth $35. Very salty and was incredibly thirsty the rest of the night. Minimal â€˜seafood' (squid and clams. No prawns as shown in picture!). Jajangmyon was decent (but $13).,0.381,0.2616,0.3435,0.3476,0.522
Kimme,"171 Telok Ayer St, Singapore 068621",Gaurav Deep Singh,"Exceptional Fusion Food, slightly pricy but totally worth it for a special occasion. And the service is excellent to boot!",0.3808,0.2348,0.5037,0.4006,0.6662
Birds of a Feather,"171 Telok Ayer St, Singapore 068621",X K,"Amazingly good food. The Treasure Skewer starter is my favour item! The accompanying arrow root noodle is also delish, must order if you love noodles. Always make reservations to get a table. They staff was very attentive and pleasant and very helped us get a table last minute via text. Have only went for dinners, great for dates!",0.3806,0.2515,0.5699,0.2575,0.7076
Raku Raku Japanese Dining Stanley,"171 Telok Ayer St, Singapore 068621",Edward Loke,"Very decent Japanese food at a affordable price. There are multiple Japanese customers here, which says something",0.3805,0.2974,0.3163,0.351,0.5088
YinJi Singapore,"171 Telok Ayer St, Singapore 068621",Zack Mok,"The rice rolls are very smooth and tasty. Porridge's portion is rather small, more suitable for kids I feel. Seating area is limited so be prepared to wait during peak hours.",0.3804,0.4262,0.4064,0.3903,0.532
Moosehead,"171 Telok Ayer St, Singapore 068621",Keith Lam,"The Burger is out of this world good. Everything else is also well above average, if a bit pricey.",0.3803,0.3693,0.444,0.4114,0.5599
Chong Wen Ge Cafe,"171 Telok Ayer St, Singapore 068621",Fa Dwan,"Must visit!The price us worthy. Excellence food and very interesting decorations!It is on the side of the temple so you may hard to find the entrance.The other side is the ceramic decorative tiles shop, very good shop.",0.3803,0.3818,0.4848,0.3483,0.6444
Muchachos,"171 Telok Ayer St, Singapore 068621",Leong Ling,"average food, soggy burritos. portion is huge even to me. the addon sauces at 1.5 salsa was outrageus guzman gomez gave it free. very plain mexican food. the drinks just flavored",0.3802,0.2957,0.4684,0.308,0.55
WANTON - Seng's Noodle Bar,"171 Telok Ayer St, Singapore 068621",Henk de Bruijne,"Very good, tasty and inexpensive. I have only gone for lunch but this was one of my favorite place to go to for work lunch. for only $1 you get an extra bowl of noodle.",0.3801,0.2453,0.4765,0.3301,0.6201
Bumbu,"171 Telok Ayer St, Singapore 068621",Desmond Loh,"Bumbu is an electic Indonesian Thai restaurant serving up comfort food like tahu telor. Please order the prawn cakes, coffee chicken and the belachan fried rice. Refreshing lemon grass to wash them all down. Make a reservation as there is the usual office lunch crowd.",0.3801,0.2954,0.4061,0.2977,0.5746
MeatSmith Telok Ayer,"171 Telok Ayer St, Singapore 068621",Roland Hamann,"Hands down best cheeseburger in the area. Tuesdays is Cheeseburger day so one can get a burger for 10 SGD. Staff was friendly and explained the other choices on the menu in depth. Thank you very much. Really nice place for a quick lunch break as long as you like meat. Exclusively on Thursdays they offer bread, donuts and other pastries for take away, great taste and highly popular at the moment. Given the popularity of the restaurant recently I recommend making a reservation upfront.",0.38,0.2268,0.5159,0.3198,0.6144
Beppu Menkan,"171 Telok Ayer St, Singapore 068621",Susan Tan,"Decent food. Prices are reasonable, and service is quick and friendly. Their ramen doesn't really taste great, but this could be just individual preference. Their curry rice was also a tad too spicy for those who are used to ""mild Japanese curry"". Their chicken karaage and special mayo tofu were very good appetisers though. They were perhaps the saving grace of an otherwise lackluster meal.",0.3798,0.3097,0.4382,0.3478,0.562
Grain Traders,"171 Telok Ayer St, Singapore 068621",Laura Krajewski,Common negatives with other reviews- a bit expensive and Long wait during prime hours but you will enjoy every bite. Fresh ingredients and knowledgeable staff if you have questions. Wide range of options to fill different dietary restrictions as well!,0.3797,0.3246,0.3649,0.3352,0.5047
Kabuke,"171 Telok Ayer St, Singapore 068621",April Hoon,"The food and sake selection is on point! I also think they're very reasonably priced. It's a nice cozy spot to hang with couple friends over sake. they have amazing happy hour prices, please take advantage!",0.3797,0.3091,0.5576,0.3405,0.6466
Wang Dae Bak Pocha,"171 Telok Ayer St, Singapore 068621",Jolene Rajah,Food was really good. I honestly don't know what I ate as I'm not too familiar with Korean cuisine but its the best I've had so far. S Lychee soju was great. Portions were big.,0.3797,0.3084,0.5379,0.3319,0.6896
L'Angelus,"171 Telok Ayer St, Singapore 068621",Sebestian Szeto,"Great food in generous portions, good collection of wine, attentive & frdly services, cosy ambient, reasonable prices, what else to ask for? Be sure will visit again.",0.3796,0.4249,0.4421,0.451,0.733
Guo Fu Hotpot Steamboat,"171 Telok Ayer St, Singapore 068621",Andy Choi,"Used to be packed!!!! Perhaps with the rise of cheaper steamboat buffet, the original Chinese steamboat is no longer in vogue... So if you're looking for pretty tasty soups, free flow of really marbled sliced beef and pork, xiao long bao... This place is great now (with lesser queue than ever!)",0.3796,0.3135,0.4266,0.3323,0.5708
Hachi Tei,"171 Telok Ayer St, Singapore 068621",Susan Tan,Decent Japanese cuisine at very affordable prices. Unfortunately the rice used seems to be normal asian rice instead of Japanese rice. Ingredients are very fresh though. Weekday lunch hours are a tad too busy and loud to have a quiet meal.,0.3795,0.3122,0.371,0.3662,0.5138
Maggie Joan's,"171 Telok Ayer St, Singapore 068621",Ben Summerton,"An unreal experience at Maggie's. Recommend for a date night. Portion sizes modest, but quality speaks far louder. A nice selections of wine, and highly knowledgeable staff make this place one to return to (which we have done).",0.3795,0.2815,0.4191,0.307,0.6052
Nusantara Cuisine,"171 Telok Ayer St, Singapore 068621",Hamzah Ibrahim,Very reasonable priced dishes for a shop in the midst of CBD,0.3794,0.4092,0.4047,0.3337,0.5494
Oven & Fried Chicken,"179 Telok Ayer St, Singapore 068627",Siddharth Biswas,highly recommend the salted egg fried chicken,0.3794,0.2544,0.4546,0.3054,0.5635
Moosehead,"179 Telok Ayer St, Singapore 068627",P,They did a great job with the pork jowl. The burger patty was good but the bun was too hard and lacked a side for $20.,0.3793,0.2888,0.4205,0.3064,0.5575
SWEE KEE EATING HOUSE,"179 Telok Ayer St, Singapore 068627",Stephen Timothy Ng,Ate here often in the past. Hoping it will improve in it's fish soup quality. My parents stop coming here already. My partner was disappointed. She loves fish soup. Soup not thick but very strong fishy taste as most ppl mentioned.,0.3792,0.3288,0.3523,0.4323,0.5219
Tandoori Culture,"179 Telok Ayer St, Singapore 068627",Keshav Bhandari,One of the few places I have been for biryani.,0.3789,0.3687,0.3599,0.3769,0.516
Employees Only Singapore,"179 Telok Ayer St, Singapore 068627",Desmond Sim,"Good bar but will need proper management of crowd, got too crowded to even navigate through the bar to actually have a good experience",0.3788,0.3643,0.5086,0.323,0.6069
Dumpling Darlings,"179 Telok Ayer St, Singapore 068627",Ginny Li,I think this place is Worth trying. Food is no bad. But not so surprising. A good choice for casual lunch!,0.3788,0.4394,0.3921,0.4896,0.5256
Guo Fu Hotpot Steamboat,"179 Telok Ayer St, Singapore 068627",SEAN WU,"I like the Mala soup base, it's spicy without being oily. It's buffet style with unlimited flow of Xiao Long Bao, really worth it, really really juicy. The ingredient is fresh, service very kindly. Be sure to book a table to avoid long waits. By the way the drink is not included in the buffet, we order free flow chinese ice tea.....very nice place stay together with friends and family.....I will walk in again",0.3788,0.3,0.4567,0.3318,0.5943
Ushidoki Wagyu Kaiseki,"179 Telok Ayer St, Singapore 068627",Judi Gunawan,Chef Nobu is amazing!!!,0.3788,0.267,0.6457,0.3337,0.7947
Le Binchotan,"179 Telok Ayer St, Singapore 068627",P. Mancinelli,"Great ambiance and execution. Best experience to be had if sat at the bar. The food is fine, and the cocktails are perfect. A bit heavy in terms of pricing, especially when compared to other places of equal quality.",0.3786,0.3625,0.5196,0.3272,0.6616
Katanashi An,"179 Telok Ayer St, Singapore 068627",Cheryl Chew,"Awesome service from tomei-san! Awesome bamboo sake and reasonably priced food! If only it opens later for an izakaya, totally loving this place!",0.3782,0.1793,0.6816,0.2428,0.7194
Katanashi An,"179 Telok Ayer St, Singapore 068627",Cheryl Chew,"Awesome service from tomei-san! Awesome bamboo sake and reasonably priced food! If only it opens later for an izakaya, totally loving this place!",0.3782,0.1793,0.6816,0.2428,0.7194
Magal BBQ,"179 Telok Ayer St, Singapore 068627",Shannen Lee,Strongly recommend this place. I'm Korean and find Magal is one of authentic Korean restaurants in Singapore. Service is really amazing. Appreciate the service!,0.3781,0.2645,0.637,0.2714,0.7101
Hyang Yeon Restaurant,"179 Telok Ayer St, Singapore 068627",Sook Yin Au,"Enjoyed my meal here last night. The staff were polite, helpful and attentive despite a busy Friday night. The menu is extensive, although we stuck to staples like bbq, jajangmyeon and mandu. Portions are generous. Will be back to try some of their specials.",0.3781,0.3677,0.4499,0.4067,0.5867
Beppu Menkan,"179 Telok Ayer St, Singapore 068627",Xiaojun Hong,"Have been coming here since over 15 years ago, and quality has always been constantly great. My favorite is still the Oniyama Jikoku ramen (tori karaage spicy ramen)!",0.3774,0.2816,0.5425,0.3112,0.6694
Lai Huat Signatures,"179 Telok Ayer St, Singapore 068627",Cookie Monster,"Normal tze char at CBD prices. Ordered the fermented pork, sweet and sour fish + rice and veggies. The pork was quite disappointing as looked crispy on the outside but it had no bite in the inside. It was like eating Lao Hong pork. Sweet and sour fish was all sweet and no sour while the veggies were veggies.",0.3774,0.3361,0.383,0.3626,0.4927
Hyang Yeon Restaurant,"179 Telok Ayer St, Singapore 068627",Joyce Lee,The food here is amazing!!! Visited Hyang Yeon during lunch and really enjoyed the lunch deal they offer! I ordered the soy bean noodles with marinated chicken and brown rice ($14++) while my friend order the spicy ramen ($12++). The service is a little slow but it's expected because of the huge crowd. The servers were great in explaining how to order despite the language barrier. Highly recommend anyone who loves korean food to check it out!,0.3772,0.2699,0.4768,0.2573,0.639
Mapo Galmaegi Korean Restaurant (Magal BBQ),"179 Telok Ayer St, Singapore 068627",Isabella Leow,"The kimchi seafood pancake, side dishes, meats were good. Polite and attentive service. Amex not accepted here.",0.3771,0.2418,0.463,0.3154,0.6465
Noti Restaurant & Bar,"179 Telok Ayer St, Singapore 068627",TheFitnessTheory,"Great location, wines by the glass are too expensive compared to the bottles' quality, though. Decent happy hour promotion - would suggest going there before 9pm.",0.377,0.2884,0.4502,0.2867,0.5949
Guo Fu Hotpot Steamboat,"179 Telok Ayer St, Singapore 068627",Eugene Tng,Great food quality and selection at decent price point. Been coming here for many years and still a returning customer.,0.377,0.2763,0.4824,0.3317,0.5695
burger bar new york,"179 Telok Ayer St, Singapore 068627",Michael Smith,"Fantastic place for decent craft beers with a nice variety on offer. Reasonable prices as you can get for beer in Singapore, especially when it's decent beer and not mass produced lager and such. Staff was very friendly, was talking to Darius behind the bar for most of the time. Nice atmosphere too, decent music mostly classic rock and 80s hits which no one should truly complain about.",0.377,0.3067,0.4438,0.3381,0.5937
The Coconut Club,"18 Gemmill Ln, Singapore 069255",craig michilis,"Quality, taste and value for money. Good nasi Lamak served up by engaged staff in a tasteful but simple setting. They do one dish with a few variations and they do it well.",0.3769,0.2065,0.4844,0.3126,0.6335
Fu Lin Bar & Kitchen,"18 Gemmill Ln, Singapore 069255",Feng Feng,Difficult to get seats during lunch time. Staff at collection point can be more friendly. Nothing great about the dry ytd,0.3768,0.3645,0.4983,0.3327,0.5871
Manna Korean Restaurant,"18 Gemmill Ln, Singapore 069255",Vikas,"Good Food at moderate pricing. Have visited the place frequently, feedback from Korean friends is the food is not authentic but taste is customized to local needs and great overall.",0.3766,0.3085,0.5056,0.3408,0.7029
Lai Huat Signatures,"18 Gemmill Ln, Singapore 069255",Jimmy Teo,Food standard acceptable. Took too long to serve the roasted chicken.,0.3764,0.2462,0.3937,0.2983,0.5191
13% Gastro Wine,"18 Gemmill Ln, Singapore 069255",Mathieu Minier,Great food and very good wine. it is the place to try amazing products from France. We tried the red wine Cotes du Rhone and you will not regret it ;),0.3762,0.3593,0.4577,0.3526,0.5806
Dal-In 2 Korean Restaurant,"18 Gemmill Ln, Singapore 069255",Vu Long Tran,"Nice place for Korean food. Restaurant is themed nicely and the staff are friendly. Food is decent for the traditional Korean dishes my Korean colleague and I ordered, though it was not as spicy as I expected, so next time I will ask for more spicy. A good experience overall, as we were walked here from the main outlet which was booked out.",0.3762,0.3492,0.4674,0.3348,0.6266
burger bar new york,"18 Gemmill Ln, Singapore 069255",Gail Abbett,"Excellent burger I had the pork burger,Clean place. Reasonable rates. Closes late too. Highly recommended.The burger itself was prepared very well, with the cheese perfectly melted . so tasty",0.376,0.3054,0.4994,0.3596,0.5736
Blue Label Pizza & Wine,"18 Gemmill Ln, Singapore 069255",Amber Gregory,"Best vibe on the street. Everyone in the place, and it was packed, was having a fabulous time. Knowledgeable and friendly sommelier. Best Waldorf salad I've had - quite creative and subtle for what is essentially a pizza joint. The person who runs this place knows the business and it counts for clients - you'd have to work hard not to enjoy yourself. The Sherry Spritz goes down a treat for dessert and just looks delicious. Classy place with AA+ service.",0.376,0.2798,0.492,0.3424,0.6311
Preludio,"18 Gemmill Ln, Singapore 069255",Tere Latorre,Best restaurant in Singapore for both lunch and dinner. I had a sublime experience! It is totally worth to pay a visit if you are in town.,0.3758,0.2816,0.562,0.3247,0.6282
Pagi Sore,"18 Gemmill Ln, Singapore 069255",Fahmie Mahadi,Ala carte buffet is definitely worth it if you have a big appetite. Food seems like it is prepared fresh every order. Friendly staff.,0.3757,0.2641,0.5089,0.3548,0.6475
Manna Korean Restaurant,"18 Gemmill Ln, Singapore 069255",Andy Lim,Good food but quality seems drop a bit,0.3753,0.3195,0.3187,0.4154,0.4475
